"variable","item_id","item_text","dimension","dimension_label","reverse","response_min","response_max","response_labels","scoring_rule","na_option","na_label","na_paper_value","na_scored_value","critical","critical_threshold"
"q14","14","我在学习/工作中付出太多","SR","社会角色","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q15","15","我觉得自己没有价值","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q16","16","我为我的家庭问题感到担心","IR","人际关系","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q17","17","我的性生活不够好","IR","人际关系","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","1","不适用：目前没有性生活","0","0","0",""
"q18","18","我感到孤独","IR","人际关系","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q19","19","我经常与人争论","IR","人际关系","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q20","20","我感到被爱和被需要","IR","人际关系","1","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = 4 - raw","0","","","","0",""
"q21","21","我很享受我的空闲时光","SR","社会角色","1","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = 4 - raw","0","","","","0",""
"q22","22","我难以集中注意力","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q23","23","我对将来感到无望","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q24","24","我喜欢自己","SD","症状困扰","1","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = 4 - raw","0","","","","0",""
"q25","25","头脑里有一些干扰我的想法，我无法摆脱","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q26","26","我讨厌那些批评我喝酒（或嗑药）的人","IR","人际关系","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","1","不适用：我不喝酒、也不用药","0","0","1","2"
"q27","27","我的胃口不好","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q28","28","我现在的学习/工作状况不如以前好","SR","社会角色","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q29","29","我的心跳剧烈","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q30","30","我和朋友熟人的相处有问题","IR","人际关系","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q31","31","我对生活感到满意","SD","症状困扰","1","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = 4 - raw","0","","","","0",""
"q32","32","喝酒或嗑药导致我的学习/工作出现问题","SR","社会角色","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","1","不适用：我不喝酒、也不用药","0","0","1","2"
"q33","33","我感到有些不好的事情即将发生","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q34","34","我感到肌肉疼痛","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q35","35","我在露天场所、开车或乘坐公汽、火车等时感到害怕","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q36","36","我感到紧张","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q37","37","我觉得我的爱情关系充实而美好","IR","人际关系","1","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = 4 - raw","1","不适用：目前没有恋爱关系","4","0","0",""
"q38","38","我觉得我在学习/工作上做得不好","SR","社会角色","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q39","39","我在学习/工作上和别人的意见有太多不同","SR","社会角色","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q40","40","我觉得我的脑子出了问题","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q41","41","我难以入睡或沉睡","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q42","42","我的情绪低落","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q43","43","我对我与别人的关系感到满意","IR","人际关系","1","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = 4 - raw","0","","","","0",""
"q44","44","在学习/工作中我感到很生气，以至于做出一些可能会后悔的事","SR","社会角色","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","1","2"
"q45","45","我感到头痛","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
